X	node	branch.length	label	isTip	x	y	branch	angle	x10	status	generalization	broader_gen	specific_species	X.1	lib	V2	status_count
1938	815	0.753808961	SRR9703484_10495_	TRUE	5.979881242	311	5.602976761	100.8648649	Monophyllus_redmani_associated	novel	Bat	Bat	Monophyllus_redmani_associated	Monophyllus_redmani_associated	SRR9703484	Other	TRUE
1256	128	0.19339168	SRR25288764_68983_	TRUE	5.275461677	463	5.178765837	150.1621622	Mops_plicatus_associated	novel	Bat	Bat	Mops_plicatus_associated	Mops_plicatus_associated	SRR25288764	Other	TRUE
1255	130	0.267570967	SRR25288764_13700_	TRUE	5.222974603	462	5.08918912	149.8378378	Mops_plicatus_associated	novel	Bat	Bat	Mops_plicatus_associated	Mops_plicatus_associated	SRR25288764	Other	TRUE
1844	719	0.513019583	SRR25288764_21803_	TRUE	6.190382426	299	5.933872635	96.97297297	Mops_plicatus_associated	novel	Bat	Bat	Mops_plicatus_associated	Mops_plicatus_associated	SRR25288764	Other	TRUE
1917	798	0.254474282	SRR25288535_46_	TRUE	5.67507259	388	5.547835448	125.8378378	Myotis_altarium_associated	novel	Bat	Bat	Myotis_altarium_associated	Myotis_altarium_associated	SRR25288535	Other	TRUE
1972	864	0.465143918	SRR25288757_173498_	TRUE	5.903687616	352	5.671115657	114.1621622	Pipistrellus_associated	novel	Bat	Bat	Pipistrellus_associated	Pipistrellus_associated	SRR25288757	Other	TRUE
1949	823	0.213998849	SRR26397420Score_620.079_	TRUE	5.760440186	331	5.653440762	107.3513514	Rhinolophus_thomasi_associated	novel	Bat	Bat	Rhinolophus_thomasi_associated	Rhinolophus_thomasi_associated	SRR26397420	Other	TRUE
2065	942	0.168083589	SRR25288600_363618_	TRUE	5.622141005	130	5.53809921	42.16216216	Rousettus_leschenaultii_associated	novel	Bat	Bat	Rousettus_leschenaultii_associated	Rousettus_leschenaultii_associated	SRR25288600	Other	TRUE
1857	780	0.541439709	SRR7734125_63559_	TRUE	5.707026114	400	5.436306259	129.7297297	Taphozous_perforatus_associated	novel	Bat	Bat	Taphozous_perforatus_associated	Taphozous_perforatus_associated	SRR7734125	Other	TRUE
1919	791	0.191797951	SRR19115560_2307_	TRUE	5.746057879	389	5.650158904	126.1621622	Vespertilio_murinus_associated	novel	Bat	Bat	Vespertilio_murinus_associated	Vespertilio_murinus_associated	SRR19115560	METAGENOMIC	TRUE
2146	1032	0.06556765	SRR7875388Score_563.905_	TRUE	4.58775422	83	4.554970395	26.91891892	Bos_grunniens_associated	novel	Bovine	Bovine	Bos_grunniens_associated	Bos_grunniens_associated	SRR7875388	Other	TRUE
2105	983	0.093796773	SRR11842090_13702_	TRUE	5.982302966	138	5.935404579	44.75675676	Bubalus_bubalis_associated	novel	Bovine	Bovine	Bubalus_bubalis_associated	Bubalus_bubalis_associated	SRR11842090	TRANSCRIPTOMIC	TRUE
2104	986	0.103243169	SRR22679053_21748_	TRUE	5.955644064	137	5.90402248	44.43243243	Bubalus_bubalis_associated	novel	Bovine	Bovine	Bubalus_bubalis_associated	Bubalus_bubalis_associated	SRR22679053	OTHER	TRUE
2209	1095	0.694144881	SRR11951209_2019_	TRUE	4.567682987	29	4.220610546	9.405405405	Bufo_gargarizans_associated	novel	Bovine	Bovine	Bufo_gargarizans_associated	Bufo_gargarizans_associated	SRR11951209	TRANSCRIPTOMIC	TRUE
2091	970	0.172378279	ERR11785783_542324_	TRUE	6.263551905	162	6.177362766	52.54054054	Syncerus_caffer_associated	novel	Bovine	Bovine	Syncerus_caffer_associated	Syncerus_caffer_associated	ERR11785783	Other	TRUE
2107	987	0.249958044	ERR11785766_79526_	TRUE	6.072423004	134	5.947443982	43.45945946	Syncerus_caffer_associated	novel	Bovine	Bovine	Syncerus_caffer_associated	Syncerus_caffer_associated	ERR11785766	Other	TRUE
2055	936	0.371136891	SRR19117908_684125_	TRUE	5.606814102	176	5.421245656	57.08108108	Budorcas_taxicolor_associated	novel	Caprine	Other	Budorcas_taxicolor_associated	Budorcas_taxicolor_associated	SRR19117908	GENOMIC	TRUE
1723	599	0.419560065	SRR8437782_17784_	TRUE	5.388470232	604	5.178690199	195.8918919	Capra_ibex_associated	novel	Caprine	Other	Capra_ibex_associated	Capra_ibex_associated	SRR8437782	Other	TRUE
1762	637	0.371878689	SRR11657643_297240_	TRUE	5.461858315	632	5.275918971	204.972973	Ovis_aries_associated	novel	Caprine	Other	Ovis_aries_associated	Ovis_aries_associated	SRR11657643	GENOMIC	TRUE
1766	642	0.769773075	SRR19505656_591_	TRUE	6.145542023	627	5.760655485	203.3513514	Tick_associated	novel	Tick	Other	Tick_associated	Tick_associated	SRR19505656	METAGENOMIC	TRUE
1722	597	0.044495672	SRR17035119_206180_	TRUE	5.424698403	602	5.402450567	195.2432432	Cervus_nippon_associated	novel	Cervine	Cervine	Cervus_nippon_associated	Cervus_nippon_associated	SRR17035119	METAGENOMIC	TRUE
1727	602	0.176743834	SRR17035102_23469_	TRUE	5.581862402	607	5.493490485	196.8648649	Cervus_nippon_associated	novel	Cervine	Cervine	Cervus_nippon_associated	Cervus_nippon_associated	SRR17035102	METAGENOMIC	TRUE
1727	603	0.157590183	SRR17035102_50223_	TRUE	5.562708751	608	5.483913659	197.1891892	Cervus_nippon_associated	novel	Cervine	Cervine	Cervus_nippon_associated	Cervus_nippon_associated	SRR17035102	METAGENOMIC	TRUE
2087	966	0.303953316	SRR17035106_10706_	TRUE	5.715566023	157	5.563589365	50.91891892	Cervus_nippon_associated	novel	Cervine	Cervine	Cervus_nippon_associated	Cervus_nippon_associated	SRR17035106	METAGENOMIC	TRUE
2088	968	0.089894726	SRR17035106_825_	TRUE	5.797601027	159	5.752653664	51.56756757	Cervus_nippon_associated	novel	Cervine	Cervine	Cervus_nippon_associated	Cervus_nippon_associated	SRR17035106	METAGENOMIC	TRUE
2086	969	0.459679329	SRR17035106_3316_	TRUE	5.770052174	156	5.540212509	50.59459459	Cervus_nippon_associated	novel	Cervine	Cervine	Cervus_nippon_associated	Cervus_nippon_associated	SRR17035106	METAGENOMIC	TRUE
1725	600	0.37162399	SRR19545153_36443_	TRUE	5.67617667	605	5.490364675	196.2162162	Rangifer_tarandus_association	novel	Cervine	Cervine	Rangifer_tarandus_association	Rangifer_tarandus_association	SRR19545153	GENOMIC	TRUE
1726	601	0.337385458	SRR19545148_51759_	TRUE	5.672831642	606	5.504138913	196.5405405	Rangifer_tarandus_association	novel	Cervine	Cervine	Rangifer_tarandus_association	Rangifer_tarandus_association	SRR19545148	GENOMIC	TRUE
1622	503	1.344286647	SRR4075526_1936_	TRUE	6.240717411	747	5.568574088	242.2702703	Horse_associated	novel	Equine	Equine	Horse_associated	Horse_associated	SRR4075526	METAGENOMIC	TRUE
2207	1098	0.620422862	SRR8104729_654_	TRUE	4.083761915	27	3.773550485	8.756756757	Limnonectes_kadarsani_associated	novel	Amphibian	Amphibian	Limnonectes_kadarsani_associated	Limnonectes_kadarsani_associated	SRR8104729	GENOMIC	TRUE
2213	1107	0.74960322	SRR20701368_3697_	TRUE	3.068835534	13	2.694033924	4.216216216	Lithobates_catesbeianus_associated	novel	Amphibian	Amphibian	Lithobates_catesbeianus_associated	Lithobates_catesbeianus_associated	SRR20701368	TRANSCRIPTOMIC	TRUE
2202	1091	0.349911769	SRR22691042_22193_	TRUE	3.254401635	20	3.079445751	6.486486486	Oophaga_sylvatica_associated	novel	Amphibian	Amphibian	Oophaga_sylvatica_associated	Oophaga_sylvatica_associated	SRR22691042	Other	TRUE
2217	1106	0.045706676	SRR19430196_31104_	TRUE	2.700887081	15	2.678033743	4.864864865	Ptychadena_beka_associated	novel	Amphibian	Amphibian	Ptychadena_beka_associated	Ptychadena_beka_associated	SRR19430196	GENOMIC	TRUE
2217	1105	0.156520259	SRR24719200_30273_	TRUE	2.811700665	14	2.733440535	4.540540541	Ptychadena_cooperi_associated	novel	Amphibian	Amphibian	Ptychadena_cooperi_associated	Ptychadena_cooperi_associated	SRR24719200	GENOMIC	TRUE
2216	1104	0.248136488	SRR24719138_20345_	TRUE	2.848838815	18	2.724770571	5.837837838	Ptychadena_erlangeri_associated	novel	Amphibian	Amphibian	Ptychadena_erlangeri_associated	Ptychadena_erlangeri_associated	SRR24719138	GENOMIC	TRUE
2215	1102	0.592396931	SRR14731645_238372_	TRUE	3.123783866	16	2.827585401	5.189189189	Ptychadena_neumanni_associated	novel	Amphibian	Amphibian	Ptychadena_neumanni_associated	Ptychadena_neumanni_associated	SRR14731645	Other	TRUE
2216	1103	0.315327395	SRR14731645_254385_	TRUE	2.916029722	17	2.758366024	5.513513514	Ptychadena_neumanni_associated	novel	Amphibian	Amphibian	Ptychadena_neumanni_associated	Ptychadena_neumanni_associated	SRR14731645	Other	TRUE
2210	1101	1.568511761	SRR19430023Score_255.782_	TRUE	4.620453124	24	3.836197244	7.783783784	Ptychadena_nilotica_associated	novel	Amphibian	Amphibian	Ptychadena_nilotica_associated	Ptychadena_nilotica_associated	SRR19430023	GENOMIC	TRUE
2205	1092	0.067695928	SRR24184635SRR24184635Score_265.377_Ed	TRUE	3.83704957	22	3.803201606	7.135135135	Zhangixalus_dugritei_associated	novel	Amphibian	Amphibian	Zhangixalus_dugritei_associated	Zhangixalus_dugritei_associated	SRR24184635SRR24184635	Other	TRUE
2209	1096	0.349303844	SRR24111646_5467979_	TRUE	4.22284195	30	4.048190028	9.72972973	Zhangixalus_dugritei_associated	novel	Amphibian	Amphibian	Zhangixalus_dugritei_associated	Zhangixalus_dugritei_associated	SRR24111646	GENOMIC	TRUE
2205	1093	0.094812365	SRR24184640_192549_	TRUE	3.864166007	23	3.816759825	7.459459459	Zhangixalus_hui_associated	novel	Amphibian	Amphibian	Zhangixalus_hui_associated	Zhangixalus_hui_associated	SRR24184640	Other	TRUE
2073	953	0.409982082	SRR18312696_386168_	TRUE	5.716167253	144	5.511176212	46.7027027	Giraffa_reticulata_associated	novel	Giraffid	Other	Giraffa_reticulata_associated	Giraffa_reticulata_associated	SRR18312696	Other	TRUE
1319	180	0.09821922	SRR11059661_1679_	TRUE	6.299642604	954	6.250532994	309.4054054	Drosophila_melanogaster_associated	novel	Insect	Other	Drosophila_melanogaster_associated	Drosophila_melanogaster_associated	SRR11059661	GENOMIC	TRUE
1182	49	2.62e-06	SRR8434718_67265_	TRUE	6.100229317	570	6.100228006	184.8648649	Cyamopsis_tetragonoloba_associated	novel	Plant	Other	Cyamopsis_tetragonoloba_associated	Cyamopsis_tetragonoloba_associated	SRR8434718	TRANSCRIPTOMIC	TRUE
2056	934	0.016544277	SRR12596806_17216_	TRUE	5.595727028	177	5.587454889	57.40540541	Prunus_mira_associated	novel	Plant	Other	Prunus_mira_associated	Prunus_mira_associated	SRR12596806	GENOMIC	TRUE
1631	505	0.038565462	SRR17481190_13325_	TRUE	5.308402744	743	5.289120013	240.972973	Erinaceus_amurensis_associated	novel	Insectivore	Other	Erinaceus_amurensis_associated	Erinaceus_amurensis_associated	SRR17481190	Other	TRUE
2114	1009	1.493105859	SRR22028468_199653_	TRUE	5.518343761	103	4.771790831	33.40540541	Dibamus_deharvengi_associated	novel	Reptile	Reptile	Dibamus_deharvengi_associated	Dibamus_deharvengi_associated	SRR22028468	GENOMIC	TRUE
2122	1004	0.043965089	SRR14864799_19801_	TRUE	5.716897033	107	5.694914488	34.7027027	Phrynocephalus_versicolor_associated	novel	Reptile	Reptile	Phrynocephalus_versicolor_associated	Phrynocephalus_versicolor_associated	SRR14864799	GENOMIC	TRUE
2122	1005	0.136065261	SRR14864762_78661_	TRUE	5.808997205	108	5.740964574	35.02702703	Phrynocephalus_versicolor_associated	novel	Reptile	Reptile	Phrynocephalus_versicolor_associated	Phrynocephalus_versicolor_associated	SRR14864762	GENOMIC	TRUE
2121	1006	0.131469512	SRR14864829_83990_	TRUE	5.634628075	106	5.568893319	34.37837838	Phrynocephalus_versicolor_associated	novel	Reptile	Reptile	Phrynocephalus_versicolor_associated	Phrynocephalus_versicolor_associated	SRR14864829	GENOMIC	TRUE
2202	1090	0.314003193	SRR18363241_159223_	TRUE	3.218493059	19	3.061491463	6.162162162	Phyllomedusa_bahiana_associated	novel	Reptile	Reptile	Phyllomedusa_bahiana_associated	Phyllomedusa_bahiana_associated	SRR18363241	GENOMIC	TRUE
2119	999	0.24793196	SRR25737668_148436_	TRUE	5.78383767	112	5.65987169	36.32432432	Podarcis_muralis_associated	novel	Reptile	Reptile	Podarcis_muralis_associated	Podarcis_muralis_associated	SRR25737668	Other	TRUE
2119	1000	0.147193962	SRR25737668_153243_	TRUE	5.683099672	113	5.609502691	36.64864865	Podarcis_muralis_associated	novel	Reptile	Reptile	Podarcis_muralis_associated	Podarcis_muralis_associated	SRR25737668	Other	TRUE
2118	1001	0.49268053	SRR12604243_44526_	TRUE	5.586466874	111	5.34012661	36	Takydromus_septentrionalis_associated	novel	Reptile	Reptile	Takydromus_septentrionalis_associated	Takydromus_septentrionalis_associated	SRR12604243	TRANSCRIPTOMIC	TRUE
1706	585	0.601588946	SRR13765808_2079_	TRUE	5.495347524	663	5.194553051	215.027027	Sarcophilus_harrisii_associated	novel	Marsupial	Other	Sarcophilus_harrisii_associated	Sarcophilus_harrisii_associated	SRR13765808	TRANSCRIPTOMIC	TRUE
1114	1041	0.592356638	SRR14611555_2230_	TRUE	2.861312606	71	2.565134287	23.02702703	Atlantic_associated	novel	Metagenome	Other	Atlantic_associated	Atlantic_associated	SRR14611555	METAGENOMIC	TRUE
1572	440	0.261326051	SRR13783792_45920_	TRUE	5.694339236	848	5.56367621	275.027027	Mustela_nivalis_associated	novel	Mustelid	Other	Mustela_nivalis_associated	Mustela_nivalis_associated	SRR13783792	GENOMIC	TRUE
1271	141	0.311523594	SRR25318379_54138_	TRUE	5.714737261	764	5.558975464	247.7837838	Ixodes_ovatus_associated	novel	Tick	Other	Ixodes_ovatus_associated	Ixodes_ovatus_associated	SRR25318379	Other	TRUE
1345	206	0.123271091	ERR11028317Score_609.68_	TRUE	6.528750321	936	6.467114776	303.5675676	Gorilla_gorilla_associated	novel	Non-human Primate	Non-human Primate	Gorilla_gorilla_associated	Gorilla_gorilla_associated	ERR11028317	GENOMIC	TRUE
1437	299	1.03e-06	ERR10942642_120924_	TRUE	6.235403554	1056	6.235403041	342.4864865	Perodicticus_potto_associated	novel	Non-human Primate	Non-human Primate	Perodicticus_potto_associated	Perodicticus_potto_associated	ERR10942642	Other	TRUE
1437	300	1.03e-06	ERR10942648Score_629.754_	TRUE	6.235403554	1057	6.235403041	342.8108108	Perodicticus_potto_associated	novel	Non-human Primate	Non-human Primate	Perodicticus_potto_associated	Perodicticus_potto_associated	ERR10942648	Other	TRUE
1829	701	0.424597226	ERR10972965_850882_	TRUE	5.503127304	277	5.290828691	89.83783784	Tarsius_dentatus_associated	novel	Non-human Primate	Non-human Primate	Tarsius_dentatus_associated	Tarsius_dentatus_associated	ERR10972965	Other	TRUE
1235	104	0.006730922	SRR25256578Score_613.569_	TRUE	5.355459531	491	5.35209407	159.2432432	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256578	Other	TRUE
1235	105	0.001729203	SRR25256604_400055_	TRUE	5.350457812	492	5.34959321	159.5675676	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256604	Other	TRUE
1236	107	1.03e-06	SRR25256522Score_624.477_	TRUE	5.349209221	488	5.349208708	158.2702703	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256522	Other	TRUE
1236	108	1.03e-06	SRR25256522_663139_	TRUE	5.349209221	489	5.349208708	158.5945946	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256522	Other	TRUE
1232	109	0.375425738	SRR25256528_292062_	TRUE	5.475919296	487	5.288206427	157.9459459	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256528	Other	TRUE
1821	689	0.127205165	SRR25256617_433822_	TRUE	5.577052211	289	5.513449629	93.72972973	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256617	Other	TRUE
1823	690	0.270692598	SRR25256616Score_599.287_	TRUE	5.856578892	291	5.721232593	94.37837838	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256616	Other	TRUE
1823	691	0.013508706	SRR25256529_228985_	TRUE	5.599394999	292	5.592640647	94.7027027	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256529	Other	TRUE
1822	692	0.036753092	SRR25256522Score_617.495_	TRUE	5.576292419	290	5.557915873	94.05405405	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256522	Other	TRUE
1820	693	0.210439268	SRR25256529Score_612.094_	TRUE	5.591128457	288	5.485908823	93.40540541	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256529	Other	TRUE
1824	694	0.213601721	SRR25256542_15341_	TRUE	5.490354497	284	5.383553637	92.10810811	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256542	Other	TRUE
1826	695	2.24e-06	SRR25256535_79630_	TRUE	5.494953814	286	5.494952695	92.75675676	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256535	Other	TRUE
1826	696	1.03e-06	SRR25256551Score_618.247_	TRUE	5.494952603	287	5.49495209	93.08108108	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256551	Other	TRUE
1825	697	0.147781218	SRR25256569_9341_	TRUE	5.525252504	285	5.451361895	92.43243243	Manidae_associated	novel	Pangolin	Pangolin	Manidae_associated	Manidae_associated	SRR25256569	Other	TRUE
1621	494	0.692964017	SRR19174522_234245_	TRUE	5.700102596	745	5.353620588	241.6216216	Phacochoerus_africanus_associated	novel	Porcine	Porcine	Phacochoerus_africanus_associated	Phacochoerus_africanus_associated	SRR19174522	Other	TRUE
1621	495	0.644271931	SRR19174533_28675_	TRUE	5.65141051	746	5.329274545	241.9459459	Phacochoerus_africanus_associated	novel	Porcine	Porcine	Phacochoerus_africanus_associated	Phacochoerus_africanus_associated	SRR19174533	Other	TRUE
1770	644	0.339994651	SRR19174516_188544_	TRUE	5.809049315	615	5.639051989	199.4594595	Phacochoerus_africanus_associated	novel	Porcine	Porcine	Phacochoerus_africanus_associated	Phacochoerus_africanus_associated	SRR19174516	GENOMIC	TRUE
1770	645	0.333770653	SRR19174525_18408_	TRUE	5.802825317	616	5.63593999	199.7837838	Phacochoerus_africanus_associated	novel	Porcine	Porcine	Phacochoerus_africanus_associated	Phacochoerus_africanus_associated	SRR19174525	Other	TRUE
1769	646	0.3921424	SRR19174523_80317_	TRUE	5.738113672	614	5.542042472	199.1351351	Phacochoerus_africanus_associated	novel	Porcine	Porcine	Phacochoerus_africanus_associated	Phacochoerus_africanus_associated	SRR19174523	Other	TRUE
1605	477	0.674889539	SRR26395441_306738_	TRUE	5.878188771	812	5.540744001	263.3513514	Potamochoerus_larvatus_associated	novel	Porcine	Porcine	Potamochoerus_larvatus_associated	Potamochoerus_larvatus_associated	SRR26395441	Other	TRUE
1768	647	0.270495423	SRR26395417_738037_	TRUE	5.52051641	613	5.385268698	198.8108108	Potamochoerus_larvatus_associated	novel	Porcine	Porcine	Potamochoerus_larvatus_associated	Potamochoerus_larvatus_associated	SRR26395417	Other	TRUE
2173	1059	0.312382701	SRR12532606_97845_	TRUE	4.851299431	42	4.695108081	13.62162162	Carassius_gibelio_associated	novel	Ray-finned Fish	Ray-finned Fish	Carassius_gibelio_associated	Carassius_gibelio_associated	SRR12532606	Other	TRUE
2186	1074	0.689749585	SRR22213301_62214_	TRUE	5.201290722	51	4.85641593	16.54054054	Chionodraco_hamatus_associated	novel	Ray-finned Fish	Ray-finned Fish	Chionodraco_hamatus_associated	Chionodraco_hamatus_associated	SRR22213301	Other	TRUE
2178	1063	0.179987733	SRR26349144_512_	TRUE	5.216996979	58	5.127003113	18.81081081	Cyclopterus_lumpus_associated	novel	Ray-finned Fish	Ray-finned Fish	Cyclopterus_lumpus_associated	Cyclopterus_lumpus_associated	SRR26349144	Other	TRUE
1193	57	0.008862938	SRR15046105_1835_	TRUE	5.870052259	528	5.86562079	171.2432432	Danio_rerio_associated	novel	Ray-finned Fish	Ray-finned Fish	Danio_rerio_associated	Danio_rerio_associated	SRR15046105	GENOMIC	TRUE
2190	1078	0.506741354	SRR16268598_38627_	TRUE	6.174650007	34	5.92127933	11.02702703	Hypophthalmichthys_nobilis_associated	novel	Ray-finned Fish	Ray-finned Fish	Hypophthalmichthys_nobilis_associated	Hypophthalmichthys_nobilis_associated	SRR16268598	TRANSCRIPTOMIC	TRUE
2158	1048	0.999619823	SRR11743604_76211_	TRUE	4.462917684	65	3.963107773	21.08108108	Malapterurus_electricus_associated	novel	Ray-finned Fish	Ray-finned Fish	Malapterurus_electricus_associated	Malapterurus_electricus_associated	SRR11743604	Other	TRUE
2188	1080	0.388576456	DRR319698Score_299.228_	TRUE	5.565493796	32	5.371205568	10.37837838	Misgurnus_anguillicaudatus_associated	novel	Ray-finned Fish	Ray-finned Fish	Misgurnus_anguillicaudatus_associated	Misgurnus_anguillicaudatus_associated	DRR319698	TRANSCRIPTOMIC	TRUE
2181	1067	0.845279529	SRR21231055_24198_	TRUE	5.669157449	62	5.246517684	20.10810811	Paralichthys_olivaceus_associated	novel	Ray-finned Fish	Ray-finned Fish	Paralichthys_olivaceus_associated	Paralichthys_olivaceus_associated	SRR21231055	Other	TRUE
2165	1049	0.380181123	SRR5450932_30728_	TRUE	5.819453525	39	5.629362964	12.64864865	Tachysurus_fulvidraco_associated	novel	Ray-finned Fish	Ray-finned Fish	Tachysurus_fulvidraco_associated	Tachysurus_fulvidraco_associated	SRR5450932	TRANSCRIPTOMIC	TRUE
2066	950	1.550165303	SRR10902309_46767_	TRUE	6.199635945	121	5.424553293	39.24324324	Ceratotherium_simum_associated	novel	Rhino	Other	Ceratotherium_simum_associated	Ceratotherium_simum_associated	SRR10902309	Other	TRUE
1831	703	0.238414813	ERR3298753_352415_	TRUE	5.513171477	279	5.39396407	90.48648649		Marmota_marmota_associated	novel	Rodent	Rodent		Marmota_marmota_associated		Marmota_marmota_associated	ERR3298753	GENOMIC	TRUE
2005	883	0.115725786	SRR22071722_15320_	TRUE	5.317239126	235	5.259376233	76.21621622	Leopoldamys_edwardsi_associated	novel	Rodent	Rodent	Leopoldamys_edwardsi_associated	Leopoldamys_edwardsi_associated	SRR22071722	METATRANSCRIPTOMIC	TRUE
2000	877	0.052583838	SRR26070879_529058_	TRUE	5.172174508	230	5.145882589	74.59459459	Myodes_glareolus_associated	novel	Rodent	Rodent	Myodes_glareolus_associated	Myodes_glareolus_associated	SRR26070879	Other	TRUE
1998	875	0.255002939	SRR5384553_885_	TRUE	5.119972817	227	4.992471347	73.62162162	Orientallactaga_sibirica_associated	novel	Rodent	Rodent	Orientallactaga_sibirica_associated	Orientallactaga_sibirica_associated	SRR5384553	VIRAL RNA	TRUE
2008	888	0.262234711	SRR12903319Score_605.974_	TRUE	5.335739008	224	5.204621652	72.64864865	Peromyscus_boylii_associated	novel	Rodent	Rodent	Peromyscus_boylii_associated	Peromyscus_boylii_associated	SRR12903319	GENOMIC	TRUE
2001	879	0.317968609	SRR13318616_110537_	TRUE	5.171588064	231	5.012603759	74.91891892	Peromyscus_maniculatus_associated	novel	Rodent	Rodent	Peromyscus_maniculatus_associated	Peromyscus_maniculatus_associated	SRR13318616	GENOMIC	TRUE
2009	886	0.026930671	SRR20730026_148687_	TRUE	5.450219838	225	5.436754503	72.97297297	Peromyscus_maniculatus_associated	novel	Rodent	Rodent	Peromyscus_maniculatus_associated	Peromyscus_maniculatus_associated	SRR20730026	GENOMIC	TRUE
2009	887	0.040737976	SRR14146226Score_622.755_	TRUE	5.464027143	226	5.443658155	73.2972973	Peromyscus_maniculatus_associated	novel	Rodent	Rodent	Peromyscus_maniculatus_associated	Peromyscus_maniculatus_associated	SRR14146226	Other	TRUE
2109	992	0.455585501	SRR16611435_9052_	TRUE	5.352433884	119	5.124641134	38.59459459	Peromyscus_maniculatus_associated	novel	Rodent	Rodent	Peromyscus_maniculatus_associated	Peromyscus_maniculatus_associated	SRR16611435	GENOMIC	TRUE
2109	993	0.584236609	SRR20730051_44728_	TRUE	5.481084992	120	5.188966688	38.91891892	Peromyscus_maniculatus_associated	novel	Rodent	Rodent	Peromyscus_maniculatus_associated	Peromyscus_maniculatus_associated	SRR20730051	GENOMIC	TRUE
1614	483	0.074326124	ERR1301474_1788_	TRUE	5.481715962	801	5.4445529	259.7837838	Rat_associated	novel	Rodent	Rodent	Rat_associated	Rat_associated	ERR1301474	Other	TRUE
1610	492	0.223881757	SRR22071730_45049_	TRUE	5.467703918	798	5.355763039	258.8108108	Rattus_tanezumi_associated	novel	Rodent	Rodent	Rattus_tanezumi_associated	Rattus_tanezumi_associated	SRR22071730	Other	TRUE
