accession	organism	host	generalization	year	miss_reason	sequencing_strat	notes		unique	count
NC_001789.1	Deltapapillomavirus 3	Ruminant (unspecified)	Bovine	2018	filter_fail	PCR				
MP159677.1	Deltapapillomavirus 4	Ruminant (unspecified)	Bovine	2019	zero_hits					
HQ912790.1	Camelus dromedarius papillomavirus 1	Camelus dromedarius	Camelid	2011	filter_fail					
HQ912791.1	Camelus dromedarius papillomavirus 2	Camelus dromedarius	Camelid	2011	zero_hits					
MT130100.1	Camelus dromedarius papillomavirus 3	camel	Camelid	2020	zero_hits					
OP432240.1	Canine papillomavirus type 24	Canis lupus familiaris	Canine	2022	zero_hits					
JF800657.1	Canis familiaris papillomavirus 10	canine	Canine	2011	zero_hits					
JF800658.1	Canis familiaris papillomavirus 11	canine	Canine	2014	filter_fail					
JQ754321.1	Canis familiaris papillomavirus 12	dog	Canine	2015	filter_fail					
KT326919.1	Canis familiaris papillomavirus 18	Canis lupus familiaris	Canine	2016	filter_fail					
FJ492742.1	Canis familiaris papillomavirus 7	Canis lupus familiaris	Canine	2016	filter_fail					
OQ836189.1	Canis familiaris papillomavirus type 25	Canis lupus familiaris (domestic dog)	Canine	2023	filter_fail	PCR				
DQ091200.1	Capra hircus papillomavirus 1	Capra hircus	Caprine	2006	filter_fail					
MN148899.1	Capra hircus papillomavirus type 2	"Capra hircus (Damascus goat, shamy goat)"	Caprine	2020	filter_fail					
KC876045.1	Rupicapra rupicapra papillomavirus 1	Rupicapra rupicapra	Caprine	2014	zero_hits					
EF680235.1	Capreolus capreolus papillomavirus 1	Capreolus capreolus (roedeer)	Cervine	2008	zero_hits					
KT932712.1	Cervus elaphus papillomavirus 2	Cervus elaphus	Cervine	2016	zero_hits					
KT626573.1	Deltapapillomavirus 5	Rusa alfredi	Cervine	2015	filter_fail					
PQ037580.1	Firstpapillomavirinae sp.	Panolia siamensis	Cervine	2024	filter_fail	Sanger 				
M11910.1	Odocoileus virginianus papillomavirus 1	American white-tailed deer fibroma	Cervine	2020	filter_fail					
KT932713.1	Pudu puda papillomavirus 1	Pudu puda	Cervine	2016	filter_fail					
KJ719447.1	Rangifer tarandus granti papillomavirus	Rangifer tarandus granti	Cervine	2014	filter_fail					
AF443292.1	Rangifer tarandus papillomavirus 1	Rangifer tarandus	Cervine	2020	zero_hits					
KC810012.1	Rangifer tarandus papillomavirus 2	Rangifer tarandus	Cervine	2013	filter_fail					
KP757765.1	Rusa timorensis papillomavirus 1	Rusa timorensis	Cervine	2016	filter_fail					
KT852571.1	Rusa timorensis papillomavirus type 2	Rusa (Cervus) timorensis	Cervine	2018	filter_fail					
GU117620.1	Delphinus delphis papillomavirus 1	Delphinus delphis	Cetacean	2025	zero_hits					
OQ274126.1	Neophocaena asiaeorientalis asiaeorientalis papillomavirus 1	Neophocaena asiaeorientalis asiaeorientalis	Cetacean	2023	filter_fail	MAG				
OQ274127.1	Neophocaena asiaeorientalis asiaeorientalis papillomavirus 2	Neophocaena asiaeorientalis asiaeorientalis	Cetacean	2023	zero_hits	MAG				
OQ274128.1	Neophocaena asiaeorientalis asiaeorientalis papillomavirus 3	Neophocaena asiaeorientalis asiaeorientalis	Cetacean	2023	filter_fail	MAG				
OQ274129.1	Neophocaena asiaeorientalis asiaeorientalis papillomavirus 4	Neophocaena asiaeorientalis asiaeorientalis	Cetacean	2023	filter_fail	MAG				
OQ274130.1	Neophocaena asiaeorientalis asiaeorientalis papillomavirus 5	Neophocaena asiaeorientalis asiaeorientalis	Cetacean	2023	zero_hits	MAG				
OQ274131.1	Neophocaena asiaeorientalis asiaeorientalis papillomavirus 6	Neophocaena asiaeorientalis asiaeorientalis	Cetacean	2023	zero_hits	MAG				
AJ006302.1	Omikronpapillomavirus 1	Various (genus-level type species)	Cetacean	2007	filter_fail					
MG905161.1	Omikronpapillomavirus 1	Tursiops truncatus	Cetacean	2018	filter_fail					
GU117621.1	Phocoena phocoena papillomavirus 1	Phocoena phocoena	Cetacean	2016	filter_fail					
GU117622.1	Phocoena phocoena papillomavirus 2	Phocoena phocoena	Cetacean	2016	zero_hits					
GU117623.1	Phocoena phocoena papillomavirus 4	Phocoena phocoena	Cetacean	2016	zero_hits					
HG939559.1	Phodopus sungorus papillomavirus 1	Phodopus sungorus	Cetacean	2014	filter_fail					
KJ637940.1	Tursiops aduncus papillomavirus	Indo-pacific bottlenose dolphin	Cetacean	2014	zero_hits					
EU240894.1	Tursiops truncatus papillomavirus 1	Tursiops truncatus (captive bottlenose dolphin)	Cetacean	2016	zero_hits					
EU240895.1	Tursiops truncatus papillomavirus 3	Tursiops truncatus (captive bottlenose dolphin)	Cetacean	2024	zero_hits					
JN709469.1	Tursiops truncatus papillomavirus 4	Tursiops truncatus	Cetacean	2012	zero_hits					
JN709470.1	Tursiops truncatus papillomavirus 5	Tursiops truncatus	Cetacean	2012	filter_fail					
JN709471.1	Tursiops truncatus papillomavirus 6	Tursiops truncatus	Cetacean	2012	zero_hits					
JN709472.1	Tursiops truncatus papillomavirus 7	Tursiops truncatus	Cetacean	2012	zero_hits					
MG744508.1	Tursiops truncatus papillomavirus 8	Tursiops truncatus	Cetacean	2018	filter_fail					
KF741371.1	Equus asinus papillomavirus 1	Equus asinus	Equine	2014	filter_fail					
MH625918.1	Equus asinus papillomavirus 2	donkey	Equine	2019	zero_hits					
OP870083.1	Equus caballus papillomavirus 10	horse	Equine	2023	zero_hits	PCR/Sanger				
EU503122.1	Equus caballus papillomavirus 2	Equus caballus	Equine	2009	filter_fail					
GU384895.1	Equus caballus papillomavirus 3	Equus caballus	Equine	2012	zero_hits					
JQ031033.1	Equus caballus papillomavirus 5	horse	Equine	2013	zero_hits					
JQ965698.1	Equus caballus papillomavirus 6	Equus ferus caballus	Equine	2013	zero_hits					
JX035935.1	Equus caballus papillomavirus 7	Equus ferus caballus	Equine	2013	zero_hits					
KU963288.1	Equus caballus papillomavirus 8	horse	Equine	2016	zero_hits					
JF939718.1	Equus caballus papillomavirus IV	Equus caballus	Equine	2013	zero_hits					
AF394740.1	Zetapapillomavirus 1	Various (genus-level type species)	Equine	2002	zero_hits					
OQ836188.1	Felis catus papillomavirus	Felis catus (domestic cat)	Feline	2023	zero_hits	PCR				
MN857145.1	Felis catus papillomavirus 6	Felis catus	Feline	2020	filter_fail					
MH910493.1	Leopardus wiedii papillomavirus type 1	Leopardus wiedii; sex: female	Feline	2018	filter_fail					
AY904722.1	Lynx rufus papillomavirus 1	bobcat (Lynx rufus)	Feline	2016	filter_fail					
AY904724.1	Panthera leo persica papillomavirus 1	Asian lion (Panthera leo persica)	Feline	2016	filter_fail					
BK066893.1	Papillomavirus panthera8343	Panthera pardus	Feline	2024	filter_fail					
AY904723.1	Puma concolor papillomavirus 1	Florida panther (Puma concolor)	Feline	2016	zero_hits					
DQ180494.1	Uncia uncia papillomavirus 1	snow leopard (Uncia uncia)	Feline	2024	filter_fail					
KX954132.1	Giraffa camelopardalis papillomavirus 1	Giraffa camelopardalis	Giraffid	2016	filter_fail					
MH049343.1	Okapia johnstoni papillomavirus 1	Okapia johnstoni	Giraffid	2018	filter_fail					
FJ379293.1	Erinaceus europaeus papillomavirus 1	Erinaceus europaeus (Western European hedgehog)	Hedgehog	2016	filter_fail					
LC704675.1	Four-toed hedgehog papillomavirus	Atelerix albiventris	Hedgehog	2024	zero_hits					
MK207055.1	Hemidactylus frenatus papillomavirus	Hemidactylus frenatus	Hedgehog	2019	zero_hits					
MN194600.1	Hemidactylus frenatus papillomavirus 2	Hemidactylus frenatus	Hedgehog	2019	zero_hits					
JF966376.1	Human papillomavirus	Homo sapiens	Human	2012	filter_fail					
JF966378.1	Human papillomavirus	Homo sapiens	Human	2012	filter_fail					
MH675888.2	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
MH777176.2	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
MH777187.2	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
MH777188.2	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
MH777223.2	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
MH777229.2	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
MH777236.2	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
MH777239.1	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
MH777262.2	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
MH777322.2	Human papillomavirus	Homo sapiens	Human	2019	filter_fail					
DQ080083.1	human papillomavirus 102	Homo sapiens	Human	2005	filter_fail					
DQ080082.1	human papillomavirus 106	Homo sapiens	Human	2005	filter_fail					
FJ804072.1	Human papillomavirus 116	Homo sapiens	Human	2009	filter_fail					
GQ845443.1	Human papillomavirus 121	Homo sapiens	Human	2016	filter_fail					
AB646346.1	Human papillomavirus 126	Homo sapiens	Human	2011	filter_fail					
HM999992.1	Human papillomavirus 140	Homo sapiens	Human	2012	filter_fail					
FB582208.1	Human papillomavirus 16	Homo sapiens	Human	2008	filter_fail					
KR029094.1	Human papillomavirus 16	Homo sapiens	Human	2016	filter_fail					
MG516827.1	Human papillomavirus 16	mice	Human	2018	filter_fail					
AB745694.1	Human papillomavirus 160	Homo sapiens	Human	2018	filter_fail					
KR029095.1	human papillomavirus 18	Homo sapiens	Human	2016	filter_fail					
LY715373.1	human papillomavirus 18	Homo sapiens	Human	2020	filter_fail					
KC108722.1	Human papillomavirus 180	Homo sapiens	Human	2014	filter_fail					
HG530535.1	Human papillomavirus 184	Homo sapiens	Human	2014	filter_fail					
ON482334.1	Human papillomavirus 228	Homo sapiens	Human	2023	filter_fail	Sanger				
MQ005201.1	human papillomavirus 39	Homo sapiens	Human	2021	filter_fail					
OF201689.1	human papillomavirus 45	Homo sapiens	Human	2021	filter_fail	Patent				
MQ135610.1	human papillomavirus 51	Homo sapiens	Human	2021	filter_fail					
JB775979.1	human papillomavirus 52	Homo sapiens	Human	2013	filter_fail					
KR029096.1	human papillomavirus 58	Homo sapiens	Human	2016	filter_fail					
OF201607.1	human papillomavirus 59	Homo sapiens	Human	2021	filter_fail	Patent				
MQ005202.1	human papillomavirus 68	Homo sapiens	Human	2021	filter_fail					
MQ135611.1	human papillomavirus 69	Homo sapiens	Human	2021	zero_hits					
Y15175.1	Human papillomavirus 77	Homo sapiens	Human	2016	filter_fail	Sanger 				
KR816168.1	Human papillomavirus type 177	Homo sapiens	Human	2018	filter_fail					
MF509816.1	Human papillomavirus type 211	Homo sapiens	Human	2018	filter_fail					
MF509821.1	Human papillomavirus type 216	Homo sapiens	Human	2018	filter_fail					
MH172376.1	Human papillomavirus type 219	Homo sapiens	Human	2018	filter_fail					
MH172378.1	Human papillomavirus type 221	Homo sapiens	Human	2018	filter_fail					
NC_001354.1	Human papillomavirus type 41	Homo sapiens	Human	2018	zero_hits	Patient swab				
NC_001690.1	Human papillomavirus type 48	Homo sapiens	Human	2018	filter_fail	Sanger				
MQ011421.1	Human papillomavirus type 53	Homo sapiens	Human	2021	filter_fail					
OP577477.1	Papillomaviridae sp.	Homo sapiens	Human	2023	filter_fail	Patient swab				
BK066485.1	Papillomavirus homo7372	Homo sapiens	Human	2024	filter_fail					
HQ585856.1	Crocuta crocuta papillomavirus 1	Crocuta crocuta	Hyena	2013	filter_fail					
BK066421.1	Papillomavirus sorex7377	shrew	Insectivore	2024	zero_hits					
