OR952892.1 	Aselliscus stoliczkanus
GQ227670.1 	Macaca fascicularis
HG530538.1 	Mesocricetus auratus
MG516827.1 	Mus
BK066775.1 	Mus musculus
OQ274126.1 	Neophocaena asiaeorientalis asiaeorientalis
ON932814.1 	Niviventer fulvescens
KX954121.1 	Ovis aries
OP934207.1 	Pan troglodytes
PQ037580.1 	Panolia siamensis
BK066335.1 	Panthera tigris tigris
DQ180494.1 	Panthera uncia
AY904723.1 	Puma concolor
MH892425.1 	Rattus
ON932811.1 	Rattus norvegicus
KT945134.1 	Rattus norvegicus
OR952913.1 	Rhinolophus ferrumequinum
OR952914.1 	Rhinolophus ferrumequinum
MK620332.1 	Rissa tridactyla
KT626573.1 	Rusa alfredi
OR952832.1 	Scotophilus kuhlii
OR952845.1 	Scotophilus kuhlii
MK377489.1 	Sus scrofa
OR952816.1 	Tylonycteris pachypus
OR952872.1 	Tylonycteris robustula
OR952875.1 	Tylonycteris robustula
OR952878.1 	Tylonycteris robustula
OF201607.1 	Homo sapiens
OF201689.1 	Homo sapiens
MQ135610.1 	Homo sapiens
MQ135611.1 	Homo sapiens
MQ005201.1 	Homo sapiens
MQ005202.1 	Homo sapiens
MQ011419.1 	Homo sapiens
MQ011421.1 	Homo sapiens
LY715373.1 	Homo sapiens
MK463910.1 	Homo sapiens
MP134368.1 	Homo sapiens
MP159677.1 	Bos taurus
MG921180.1 	Homo sapiens
MF327536.1 	Ailuropoda melanoleuca
JB775979.1 	Homo sapiens
AB819275.1 	Homo sapiens
FM955837.2 	Homo sapiens
EU490515.1 	Macaca fascicularis
FB582207.1 	Homo sapiens
FB582208.1 	Homo sapiens
FB570775.1 	Homo sapiens
EU410349.1 	Homo sapiens
EF177182.1 	Homo sapiens
DQ080078.1 	Homo sapiens
DQ080082.1 	Homo sapiens
AB201226.1 	Homo sapiens
AY395706.1 	Homo sapiens
AJ400628.2 	Homo sapiens
AX033802.1 	Bos taurus
Y15173.1 	Homo sapiens
Y15174.1 	Homo sapiens
Y15175.1 	Homo sapiens
U31782.1 	Homo sapiens
U31783.1 	Homo sapiens
U31786.1 	Homo sapiens
X74468.1 	Homo sapiens
X74471.1 	Homo sapiens
X70829.1 	Homo sapiens
