id,label,xref
DOID:4546,childhood mesenchymal chondrosarcoma,NCI:C27374
DOID:4546,childhood mesenchymal chondrosarcoma,UMLS_CUI:C1332982
DOID:4547,adult mesenchymal chondrosarcoma,NCI:C27375
DOID:4547,adult mesenchymal chondrosarcoma,UMLS_CUI:C1332207
DOID:4548,extraskeletal mesenchymal chondrosarcoma,NCI:C27481
DOID:4548,extraskeletal mesenchymal chondrosarcoma,SNOMEDCT_US_2023_03_01:404080006
DOID:4548,extraskeletal mesenchymal chondrosarcoma,UMLS_CUI:C1275279
DOID:4549,extraskeletal myxoid chondrosarcoma,ICDO:9231/3
DOID:4549,extraskeletal myxoid chondrosarcoma,MESH:C563195
DOID:4549,extraskeletal myxoid chondrosarcoma,MIM:612237
DOID:4549,extraskeletal myxoid chondrosarcoma,NCI:C27502
DOID:4549,extraskeletal myxoid chondrosarcoma,SNOMEDCT_US_2023_03_01:404079008
DOID:4549,extraskeletal myxoid chondrosarcoma,UMLS_CUI:C1275278
DOID:4550,anal gland neoplasm,MESH:D000694
DOID:4550,anal gland neoplasm,UMLS_CUI:C0002757
DOID:4551,anus benign neoplasm,MESH:D001005
DOID:4551,anus benign neoplasm,NCI:C2877
DOID:4551,anus benign neoplasm,SNOMEDCT_US_2023_03_01:126849006
DOID:4551,anus benign neoplasm,UMLS_CUI:C0003463
DOID:4552,large cell carcinoma,ICDO:8012/3
DOID:4552,large cell carcinoma,MESH:D018287
DOID:4552,large cell carcinoma,NCI:C3780
DOID:4552,large cell carcinoma,SNOMEDCT_US_2023_03_01:22687000
DOID:4552,large cell carcinoma,UMLS_CUI:C0206704
DOID:4553,thymus large cell carcinoma,NCI:C6461
DOID:4553,thymus large cell carcinoma,UMLS_CUI:C1334364
DOID:4554,type C thymoma,NCI:C7612
DOID:4554,type C thymoma,SNOMEDCT_US_2023_03_01:15949004
DOID:4554,type C thymoma,UMLS_CUI:C1322286
DOID:4555,ovarian large-cell neuroendocrine carcinoma,NCI:C5238
DOID:4555,ovarian large-cell neuroendocrine carcinoma,UMLS_CUI:C1335174
DOID:4556,lung large cell carcinoma,NCI:C4450
DOID:4556,lung large cell carcinoma,SNOMEDCT_US_2023_03_01:254629004
DOID:4556,lung large cell carcinoma,UMLS_CUI:C0345958
DOID:4584,choroid plexus meningioma,NCI:C4719
DOID:4584,choroid plexus meningioma,SNOMEDCT_US_2023_03_01:253082002
DOID:4584,choroid plexus meningioma,UMLS_CUI:C0431118
DOID:4586,familial meningioma,MESH:C537443
DOID:4586,familial meningioma,NCI:C5301
DOID:4586,familial meningioma,UMLS_CUI:C1333989
DOID:4587,benign meningioma,MESH:D008579
DOID:4587,benign meningioma,NCI:C4055
DOID:4587,benign meningioma,SNOMEDCT_US_2023_03_01:1157019008
DOID:4587,benign meningioma,UMLS_CUI:C0281784
DOID:4588,secretory meningioma,MESH:D008579
DOID:4588,secretory meningioma,NCI:C4718
DOID:4588,secretory meningioma,SNOMEDCT_US_2023_03_01:253081009
DOID:4588,secretory meningioma,UMLS_CUI:C1384406
DOID:4591,lymphoplasmacyte-rich meningioma,NCI:C4720
DOID:4591,lymphoplasmacyte-rich meningioma,SNOMEDCT_US_2023_03_01:19453003
DOID:4591,lymphoplasmacyte-rich meningioma,UMLS_CUI:C0431119
DOID:4593,childhood meningioma,NCI:C8264
DOID:4593,childhood meningioma,UMLS_CUI:C0280656
DOID:4594,microcystic meningioma,MESH:D008579
DOID:4594,microcystic meningioma,NCI:C4721
DOID:4594,microcystic meningioma,SNOMEDCT_US_2023_03_01:253084001
DOID:4594,microcystic meningioma,UMLS_CUI:C1384408
DOID:4606,bile duct cancer,ICD10CM:C24.0
DOID:4606,bile duct cancer,ICD9CM:156.1
DOID:4606,bile duct cancer,MESH:D001650
DOID:4606,bile duct cancer,NCI:C2898
DOID:4606,bile duct cancer,NCI:C7483
DOID:4606,bile duct cancer,SNOMEDCT_US_2023_03_01:93790004
DOID:4606,bile duct cancer,UMLS_CUI:C0005396
DOID:4606,bile duct cancer,UMLS_CUI:C0153453
DOID:4607,biliary tract cancer,GARD:5924
DOID:4607,biliary tract cancer,GARD:9304
DOID:4607,biliary tract cancer,ICD10CM:C24.9
DOID:4607,biliary tract cancer,ICD9CM:156.9
DOID:4607,biliary tract cancer,MESH:D001661
DOID:4607,biliary tract cancer,SNOMEDCT_US_2023_03_01:126853008
DOID:4607,biliary tract cancer,SNOMEDCT_US_2023_03_01:93688006
DOID:4607,biliary tract cancer,UMLS_CUI:C0005426
DOID:4607,biliary tract cancer,UMLS_CUI:C0750952
DOID:4608,common bile duct neoplasm,MESH:D003138
DOID:4608,common bile duct neoplasm,SNOMEDCT_US_2023_03_01:126857009
DOID:4608,common bile duct neoplasm,UMLS_CUI:C0009442
DOID:461,muscle benign neoplasm,MESH:D019042
DOID:461,muscle benign neoplasm,MESH:D009379
DOID:461,muscle benign neoplasm,NCI:C4063
DOID:461,muscle benign neoplasm,SNOMEDCT_US_2023_03_01:115228006
DOID:461,muscle benign neoplasm,UMLS_CUI:C0027664
DOID:461,muscle benign neoplasm,UMLS_CUI:C0282606
DOID:4610,intestinal benign neoplasm,MESH:D007414
DOID:4610,intestinal benign neoplasm,NCI:C3141
DOID:4610,intestinal benign neoplasm,SNOMEDCT_US_2023_03_01:126769007
DOID:4610,intestinal benign neoplasm,UMLS_CUI:C0021841
DOID:4618,maxillary cancer,MESH:D008441
DOID:4618,maxillary cancer,SNOMEDCT_US_2023_03_01:126550004
DOID:4618,maxillary cancer,UMLS_CUI:C0024954
