"acc","librarysource"
"SRR466335","METAGENOMIC"
"SRR5042766","TRANSCRIPTOMIC"
"DRR013320","GENOMIC"
"SRR12709176","GENOMIC"
"SRR12709384","GENOMIC"
"SRR13289359","GENOMIC"
"SRR15442578","METAGENOMIC"
"SRR1952601","METAGENOMIC"
"SRR25461973","GENOMIC"
"SRR22765716","GENOMIC"
"SRR25661112","GENOMIC"
"DRR125305","GENOMIC"
"SRR18443044","GENOMIC"
"SRR17803837","GENOMIC"
"SRR25288736","VIRAL RNA"
"SRR12709211","GENOMIC"
"SRR12709340","GENOMIC"
"SRR13289425","GENOMIC"
"SRR7665955","GENOMIC"
"SRR27078522","METAGENOMIC"
"SRR14712222","GENOMIC"
"SRR25288797","VIRAL RNA"
"SRR4003742","GENOMIC"
"SRR15672526","GENOMIC"
"SRR5836470","GENOMIC"
"SRR15461570","GENOMIC"
"SRR25288568","VIRAL RNA"
"DRR125353","GENOMIC"
"SRR12709174","GENOMIC"
"SRR4003667","GENOMIC"
"SRR12709686","GENOMIC"
"SRR12709160","GENOMIC"
"SRR16942734","GENOMIC"
"SRR22371325","TRANSCRIPTOMIC SINGLE CELL"
"SRR12709943","GENOMIC"
"SRR3614884","OTHER"
"SRR12709954","GENOMIC"
"DRR125278","GENOMIC"
"DRR125272","GENOMIC"
"SRR18086818","GENOMIC"
"SRR13289353","GENOMIC"
"SRR12950066","GENOMIC"
"SRR25288571","VIRAL RNA"
"SRR15442571","METAGENOMIC"
"SRR26588466","TRANSCRIPTOMIC"
"SRR12709313","GENOMIC"
"SRR4003707","GENOMIC"
"SRR25288716","VIRAL RNA"
"SRR15442751","METAGENOMIC"
"SRR10044860","TRANSCRIPTOMIC"
"SRR12709907","GENOMIC"
"SRR21977194","TRANSCRIPTOMIC"
"SRR25256588","GENOMIC"
"SRR12709475","GENOMIC"
"SRR4003625","GENOMIC"
"SRR4003651","GENOMIC"
"DRR008488","GENOMIC"
"SRR3615020","OTHER"
"SRR25288617","VIRAL RNA"
"SRR15442662","METAGENOMIC"
"SRR12709367","GENOMIC"
"SRR1647024","METAGENOMIC"
"SRR13962358","METAGENOMIC"
"SRR22071704","METATRANSCRIPTOMIC"
"SRR19350907","TRANSCRIPTOMIC"
"SRR6058075","TRANSCRIPTOMIC"
"SRR25663669","GENOMIC"
"SRR12709404","GENOMIC"
"SRR5415516","VIRAL RNA"
"SRR15442950","METAGENOMIC"
"DRR125360","GENOMIC"
"SRR10768864","TRANSCRIPTOMIC"
"SRR25288483","VIRAL RNA"
"SRR1647374","METAGENOMIC"
"SRR12450595","GENOMIC"
"SRR13289357","GENOMIC"
"SRR6847339","METAGENOMIC"
"SRR18936019","TRANSCRIPTOMIC"
"SRR12709995","GENOMIC"
"SRR4003646","GENOMIC"
"SRR1647500","METAGENOMIC"
"SRR18442705","GENOMIC"
"SRR19350944","TRANSCRIPTOMIC"
"SRR17055939","TRANSCRIPTOMIC"
"SRR5398836","GENOMIC"
"SRR4003751","GENOMIC"
"SRR12710096","GENOMIC"
"DRR197437","GENOMIC"
"SRR10567076","GENOMIC"
"SRR19174533","GENOMIC"
"SRR12709225","GENOMIC"
"SRR12709728","GENOMIC"
"SRR2063938","VIRAL RNA"
"SRR25288704","VIRAL RNA"
"SRR3862137","GENOMIC"
"SRR13234957","GENOMIC"
"SRR24184630","GENOMIC"
"SRR25288519","VIRAL RNA"
"SRR16368207","GENOMIC"
"SRR4003647","GENOMIC"
"SRR25288769","VIRAL RNA"
"SRR15442208","METAGENOMIC"
"SRR3614978","OTHER"
"SRR18483893","GENOMIC"
"SRR24199649","GENOMIC"
"SRR8130963","GENOMIC"
"SRR11728929","TRANSCRIPTOMIC"
"SRR27078519","METAGENOMIC"
"SRR10598191","TRANSCRIPTOMIC"
"DRR125297","GENOMIC"
"SRR15442933","METAGENOMIC"
"SRR25661650","GENOMIC"
"SRR16597600","GENOMIC"
"SRR17331055","GENOMIC"
"SRR25288604","VIRAL RNA"
"SRR5458559","TRANSCRIPTOMIC"
"SRR25256564","GENOMIC"
"SRR25648973","GENOMIC"
"SRR22537664","GENOMIC"
"SRR11108589","OTHER"
"SRR18579887","TRANSCRIPTOMIC"
"SRR4003703","GENOMIC"
"SRR27078740","METAGENOMIC"
"SRR27078613","METAGENOMIC"
"SRR13114342","TRANSCRIPTOMIC"
"SRR8437782","GENOMIC"
"SRR1611086","GENOMIC"
"SRR5677821","METAGENOMIC"
"SRR18511961","GENOMIC"
"SRR11743604","TRANSCRIPTOMIC"
"SRR1609909","GENOMIC"
"SRR13234982","GENOMIC"
"SRR15442465","METAGENOMIC"
"SRR1647127","METAGENOMIC"
"SRR12709411","GENOMIC"
"SRR27078533","METAGENOMIC"
"SRR12710056","GENOMIC"
"SRR12950065","GENOMIC"
"SRR27078829","METAGENOMIC"
"SRR27078556","METAGENOMIC"
"SRR6847284","METAGENOMIC"
"SRR12709292","GENOMIC"
"SRR12709370","GENOMIC"
"SRR17518786","TRANSCRIPTOMIC"
"DRR125310","GENOMIC"
"SRR12709336","GENOMIC"
"SRR4003691","GENOMIC"
"SRR12709745","GENOMIC"
"SRR13434102","TRANSCRIPTOMIC"
"SRR12207376","GENOMIC"
"SRR12709251","GENOMIC"
"SRR12709409","GENOMIC"
"SRR1647438","METAGENOMIC"
"SRR11811979","TRANSCRIPTOMIC"
"SRR10074838","GENOMIC"
"SRR18936010","TRANSCRIPTOMIC"
"SRR25288711","VIRAL RNA"
"SRR22765728","GENOMIC"
"SRR15442486","METAGENOMIC"
"SRR12709304","GENOMIC"
"SRR11095737","TRANSCRIPTOMIC"
"SRR13434166","TRANSCRIPTOMIC"
"SRR5335914","TRANSCRIPTOMIC"
"SRR22765757","GENOMIC"
"SRR5091621","GENOMIC"
"SRR24465286","GENOMIC"
"SRR17227495","TRANSCRIPTOMIC"
"SRR12709088","GENOMIC"
"SRR12710040","GENOMIC"
"SRR12709543","GENOMIC"
"SRR22138014","TRANSCRIPTOMIC SINGLE CELL"
"SRR13434049","TRANSCRIPTOMIC"
"SRR12709430","GENOMIC"
"SRR19350892","TRANSCRIPTOMIC"
"DRR336011","TRANSCRIPTOMIC"
"SRR11908776","TRANSCRIPTOMIC"
"SRR27078787","METAGENOMIC"
"SRR7621212","GENOMIC"
"SRR22071711","METATRANSCRIPTOMIC"
"SRR8653790","GENOMIC"
"SRR14068144","GENOMIC"
"SRR12709726","GENOMIC"
"SRR4003759","GENOMIC"
"DRR336009","TRANSCRIPTOMIC"
"SRR19174525","GENOMIC"
"SRR12710118","GENOMIC"
"SRR1611079","GENOMIC"
"SRR13674515","TRANSCRIPTOMIC"
"SRR21109204","GENOMIC"
"SRR25288596","VIRAL RNA"
"SRR12709448","GENOMIC"
"SRR25288518","VIRAL RNA"
"SRR2146138","SYNTHETIC"
"SRR12709394","GENOMIC"
"SRR25288764","VIRAL RNA"
"SRR15442518","METAGENOMIC"
"SRR21977179","GENOMIC"
"SRR25288807","VIRAL RNA"
"SRR25288731","VIRAL RNA"
"SRR4003713","GENOMIC"
"SRR9858360","TRANSCRIPTOMIC"
"SRR17878379","TRANSCRIPTOMIC"
"SRR12709419","GENOMIC"
"SRR4003722","GENOMIC"
"DRR125276","GENOMIC"
"SRR13771795","TRANSCRIPTOMIC"
"SRR4003785","GENOMIC"
"SRR25288773","VIRAL RNA"
"SRR21631221","GENOMIC"
"SRR14712223","GENOMIC"
"SRR15442962","METAGENOMIC"
"DRR197450","GENOMIC"
"SRR15442823","METAGENOMIC"
"SRR13233962","GENOMIC"
"SRR13008576","METAGENOMIC"
"SRR1647426","METAGENOMIC"
"SRR13233338","GENOMIC"
"SRR25288701","VIRAL RNA"
"DRR197458","GENOMIC"
"SRR8509868","METAGENOMIC"
"SRR12709371","GENOMIC"
"SRR27078513","METAGENOMIC"
"SRR4003746","GENOMIC"
"SRR12709423","GENOMIC"
"SRR15335096","GENOMIC"
"DRR125241","GENOMIC"
"SRR5651372","GENOMIC"
"SRR5836469","GENOMIC"
"DRR125378","GENOMIC"
"SRR17803828","GENOMIC"
"SRR18442563","GENOMIC"
"SRR12709178","GENOMIC"
"SRR22764384","TRANSCRIPTOMIC"
"SRR12710137","GENOMIC"
"SRR3862151","GENOMIC"
"SRR4332828","GENOMIC"
"SRR2146139","SYNTHETIC"
"SRR4003743","GENOMIC"
"SRR5970517","GENOMIC"
