accession	presumed_host
FM955842-1_114_1322_1	Homo sapiens
AF531420-1_90_1301_1	Homo sapiens
AY382779-2_117_1325_1	Homo sapiens
KT901797-1_84_1268_1	Canis lupus familiaris
JQ701802-1_84_1259_1	Canis lupus familiaris
M15953-1_81_1262_1	Alces alces 
AF443292-1_81_1265_1	Rangifer tarandus
NC_001789-1_57_1229_1	Ovine
U83595-1_57_1229_1	Ovine
EU188799-1_99_1289_1	Francolinus leucoscepus
EU503122-1_117_1301_1	Equus caballus
MF327538-1_108_1283_1	Ailuropoda melanoleuca
MF327537-1_45_1226_1	Ailuropoda melanoleuca
OL310516-1_78_1253_1	Felis catus
DQ217793-1_51_1253_1	Bos taurus
AF457465-1_225_1391_1	Bos taurus
AY057109-1_54_1247_1	Fringilla coelebs
HW350050-1_63_1271_1	Homo sapiens
NC_001690-1_69_1286_1	Homo sapiens
NC_001693-1_132_1334_1	Homo sapiens
EF467176-1_135_1337_1	Homo sapiens
DQ080081-1_231_1436_1	Homo sapiens
FM212639-1_84_1292_1	Homo sapiens
EU541441-1_141_1352_1	Homo sapiens
EU541442-1_87_1316_1	Homo sapiens
AF227240-1_51_1232_1	Oryctolagus cuniculus
AF377865-1_192_1367_1	Felis catus
D26115-1_84_1274_1	Canis lupus familiaris
HQ585856-1_120_1316_1	Crocuta crocuta
MA632777-1_54_1307_1	Homo sapiens
NC_001458-1_66_1259_1	Homo sapiens
NC_001354-1_225_1487_1	Homo sapiens
EF536349-1_108_1286_1	Ursus maritimus
MF327535-1_114_1295_1	Ailuropoda melanoleuca
AJ006302-1_132_1358_1	Phocoena spinipinnis
DQ091200-1_90_1280_1	Capra hircus
DQ664501-1_135_1322_1	Mastomys coucha
AY722648-1_99_1274_1	Canis familiaris
AF420235-1_81_1253_1	Psittacus erithacus
MF168943-1_72_1250_1	Pygoscelis adeliae
AB331651-1_309_1508_1	Bos taurus
AB331650-1_144_1325_1	Bos taurus
AF486184-1_75_1265_1	Bos taurus
AF394740-1_87_1283_1	Equus ferus
KY705374-1_117_1295_1	Bos taurus
KU519391-1_54_1238_1	Bos taurus
KC876045-1_81_1256_1	Rupicapra rupicapra
FJ796965-1_93_1271_1	Ovis aries
KT932713-1_54_1232_1	Pudu puda
KU519393-1_54_1235_1	Bos taurus
KC020689-2_105_1307_1	Castor canadensis
LC704675-1_63_1238_1	Atelerix albiventris
AJ243287-1_93_1289_1	Oryctolagus cuniculus
KC460986-1_72_1250_1	Talpa europaea
MZ357114-1_72_1259_1	Ailuropoda melanoleuca
MG571090-1_123_1361_1	Leptonychotes weddellii
BK066893-1_138_1331_1	Panthera pardus
OR915587-1_135_1328_1	Caracal caracal
FJ492744-1_54_1244_1	Canis lupus familiaris
BK066513-1_87_1274_1	Felis catus
OR915590-1_87_1265_1	Caracal caracal
BK066374-1_111_1289_1	Felis catus
MH910493-1_117_1316_1	Leopardus wiedii
AY904724-1_57_1238_1	Panthera leo persica
OR915584-1_84_1265_1	Caracal caracal
AY763115-1_54_1238_1	Procyon lotor
KJ410351-1_132_1316_1	Enhydra lutris nereis
OR952911-1_114_1310_1	Rhinolophus ferrumequinum
OR952917-1_84_1283_1	Rhinolophus sinicus
OR952797-1_15_1214_1	Rhinolophus sinicus
OR952800-1_87_1286_1	Rhinolophus affinis
BK062774-1_51_1241_1	Manis javanica
BK062772-1_87_1286_1	Manis javanica
BK062773-1_54_1253_1	Manis javanica
BK066751-1_81_1283_1	Soricidae
MK443496-1_129_1322_1	Tupaia chinensis
BK066590-1_81_1289_1	Rhinolophidae
OR427310-1_132_1325_1	Rhinolophus affinis
JX885601-1_78_1280_1	Eidolon helvum
OR952839-1_51_1220_1	Scotophilus kuhlii
OR952831-1_12_1190_1	Scotophilus kuhlii
OR952775-1_51_1223_1	Scotophilus kuhlii
OR952891-1_147_1331_1	Myotis siligorensis
KC858265-1_51_1223_1	Eptesicus serotinus
KC858263-1_51_1223_1	Eptesicus serotinus
OR952873-1_51_1229_1	Tylonycteris robustula
OR952817-1_96_1268_1	Tylonycteris pachypus
OR952812-1_270_1442_1	Tylonycteris pachypus
OR952871-1_93_1265_1	Tylonycteris robustula
OR952866-1_96_1268_1	Tylonycteris robustula
OR952808-1_51_1229_1	Tylonycteris pachypus
OR952821-1_51_1235_1	Tylonycteris pachypus
OR952867-1_51_1235_1	Tylonycteris robustula
OR952778-1_51_1226_1	Scotophilus kuhlii
BK066787-1_51_1226_1	Chiroptera
OR952781-1_51_1226_1	Scotophilus kuhlii
OR952825-1_51_1223_1	Scotophilus kuhlii
OR952834-1_51_1223_1	Scotophilus kuhlii
OR952840-1_51_1226_1	Scotophilus kuhlii
OR952835-1_51_1217_1	Scotophilus kuhlii
OR952838-1_51_1235_1	Scotophilus kuhlii
MT766314-1_51_1235_1	Eptesicus regulus
